+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 2 |  2 |       NEW |     READY |
|                 2 |  2 |     READY |   RUNNING |
|                 3 |  2 |   RUNNING |   WAITING |
|                 3 |  1 |       NEW |     READY |
|                 3 |  1 |     READY |   RUNNING |
|                 5 |  2 |   WAITING |     READY |
|                 7 |  1 |   RUNNING |   WAITING |
|                 7 |  2 |     READY |   RUNNING |
|                 8 |  2 |   RUNNING |   WAITING |
|                10 |  1 |   WAITING |     READY |
|                10 |  2 |   WAITING |     READY |
|                10 |  1 |     READY |   RUNNING |
|                14 |  1 |   RUNNING |TERMINATED |
|                14 |  2 |     READY |   RUNNING |
|                15 |  2 |   RUNNING |   WAITING |
|                17 |  2 |   WAITING |     READY |
|                17 |  2 |     READY |   RUNNING |
|                18 |  2 |   RUNNING |TERMINATED |
+------------------------------------------------+
